	ㄱᆏㄱ
	ㄱᆞㄱ
	ㄱᆡㄱ
	ㄴᆞㄱ
	ㄴᆡㄱ
	ㄷᆞㄱ
	ㄷᆡㄱ
	ㄸᆡㄱ
	ㄹᆞㄱ
	ㄹᆡㄱ
	ㅁᆞㄱ
	ㅁᆡㄱ
	ㅂᆞㄱ
	ㅂᆡㄱ
	ㅲㅏㄱ
	ㅳㅓㄱ
	ㅳㅜㄱ
	ㅳㅣㄱ
	ㅃᆡㄱ
	ᄡㅏㄱ
	ᄡㅓㄱ
	ᄡㅕㄱ
	ᄡㅗㄱ
	ᄡㅜㄱ
	ᄡㅡㄱ
	ᄡㅢㄱ
	ᄡㅣㄱ
	ᄧㅏㄱ
	ᄧㅑㄱ
	ᄧㅓㄱ
	ᄧㅗㄱ
	ᄧㅜㄱ
	ᄧㅡㄱ
	ᄧㅣㄱ
	ᄧᆞㄱ
	ᄩㅓㄱ
	ᄩㅜㄱ
	ᄫㅕㄱ
	ㅺㅐㄱ
	ㅺㅓㄱ
	ㅺㅔㄱ
	ㅺㅕㄱ
	ㅺㅗㄱ
	ㅺㅚㄱ
	ㅺㅜㄱ
	ㅺㅝㄱ
	ㅺㅡㄱ
	ㅺㅣㄱ
	ㅺᆞㄱ
	ㅺᆞㄱ
	ᄯㅏㄱ
	ㅼㅑㄱ
	ㅼㅓㄱ
	ㅼㅔㄱ
	ㅼㅕㄱ
	ㅼㅗㄱ
	ㅼㅛㄱ
	ㅼㅜㄱ
	ㅼㅠㄱ
	ㅼㅡㄱ
	ㅼㅣㄱ
	ㅼᆞㄱ
	ㅼᆡㄱ
	ㅽㅏㄱ
	ㅽㅐㄱ
	ㅽㅓㄱ
	ㅽㅕㄱ
	ㅽㅜㄱ
	ㅽㅡㄱ
	ㅽㅣㄱ
	ㅽᆞㄱ
	ㅽᆞㄱ
	ㅆᆞㄱ
	ㅾㅏㄱ
	ㅾㅐㄱ
	ㅾㅑㄱ
	ㅾㅓㄱ
	ㅾㅕㄱ
	ㅾㅗㄱ
	ㅾㅘㄱ
	ㅾㅛㄱ
	ㅾㅜㄱ
	ㅾㅠㄱ
	ㅾㅡㄱ
	ㅾㅣㄱ
	ㅾᆞㄱ
	ㅾᆡㄱ
	ᄹㅜㄱ
	ㅿㅑㄱ
	ㅿㅓㄱ
	ㅿㅕㄱ
	ㅿㅛㄱ
	ㅿㅠㄱ
	ㅿㅡㄱ
	ㅿㅣㄱ
	ㅇᆑㄱ
	ㅇᆞㄱ
	ㅇᆡㄱ
	ㆁㅏㄱ
	ㆁㅑㄱ
	ㆁㅓㄱ
	ㆁㅕㄱ
	ㆁㅗㄱ
	ㆁㅡㄱ
	ㅈᆏㄱ
	ㅈᆞㄱ
	ㅈᆡㄱ
	ㅉᆞㄱ
	ㅊᆞㄱ
	ㅊᆡㄱ
	ㅋᆞㄱ
	ㅋᆡㄱ
	ㅌᆞㄱ
	ㅌᆡㄱ
	ㅍᆡㄱ
	ㅎᆞㄱ
	ㅎᆡㄱ
	ㆅㅏㄱ
	ㆅㅕㄱ
	ㆅㅗㄱ
	ㆅㅚㄱ
	ㆅᆡㄱ
	ㆆㅏㄱ
	ㆆㅑㄱ
	ㆆㅕㄱ
	ㆆㅡㄱ
	ㆆᆡㄱ
	ㅲㅓㄱ
	ㅳㅕㄱ
